iteration,l1_error
1,0.5684780503753829
2,0.17295628886143893
3,0.0725087719651861
4,0.031627135829858245
5,0.014906976393004263
6,0.007140419709042226
7,0.003542790236629547
8,0.0017531028505357756
9,0.0008927193950403757
10,0.00045039046418718484
11,0.00023198797216937746
12,0.00011864848746826894
13,6.162191553113244e-05
14,3.178765650572665e-05
15,1.659750220242486e-05
16,8.608246501480912e-06
17,4.516719786631755e-06
18,2.353552403084832e-06
19,1.2405513812440566e-06
20,6.488128926299564e-07
21,3.428399444219219e-07
22,1.7996404128755358e-07
23,9.527454714855672e-08
24,5.0127284849897646e-08
25,2.6596873412324494e-08
26,1.4013781556194982e-08
27,7.44985871668595e-09
28,3.9323055582140415e-09
29,2.0933215049605616e-09
30,1.1069015840633328e-09
31,5.901338070556789e-10
32,3.125157631593198e-10
33,1.667471645786997e-10
34,8.839456532190593e-11
35,4.7187700578585345e-11
36,2.505700280510531e-11
37,1.3380394882356317e-11
38,7.115573646791773e-12
39,3.8027644184632226e-12
40,2.0243950829904045e-12
41,1.0824573659293235e-12
42,5.766832324172189e-13
